Dataset,Fragments,Count,Proportion,AMW,NumCarbons,NumOxygens,NumNitrogens,NumHeavyAtoms,CSP3,FractionOfChiralCarbons,NumAliphaticRings,NumAromaticRings,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumHeterocycles,NumRings,NumSpiroAtoms,NumBridgeheadAtoms
FooDB,*C(=O)CCCCCCCCC,19,0.596,155.143590228,10,1,0,11,0.9,0.0,0,0,0,0,0,0,0,0
FooDB,*c1ccc(OC)c(OC)c1,19,0.596,137.060254528,8,2,0,10,0.25,0.0,0,1,0,1,0,1,0,0
FooDB,*C(=O)CC(=O)[O-],18,0.565,86.00094250391001,3,3,0,6,0.3333333333333333,0.0,0,0,0,0,0,0,0,0
FooDB,*CCCC,18,0.565,57.070425287999996,4,0,0,4,1.0,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)Cc1c[nH]c2ccccc12,18,0.565,158.060588876,10,1,1,12,0.1,0.0,0,2,0,2,1,2,0,0
FooDB,*CCC=CCC*,18,0.565,82.07825032,6,0,0,6,0.6666666666666666,0.0,0,0,0,0,0,0,0,0
FooDB,*c1ccc(OC)cc1,18,0.565,107.049689844,7,1,0,8,0.14285714285714285,0.0,0,1,0,1,0,1,0,0
FooDB,*C1C(CO)OC(O)C(O)C1O,17,0.534,163.060648452,6,5,0,11,1.0,0.8333333333333334,1,0,1,0,1,1,0,0
FooDB,*C(C)C=CC1=C(C)CC(O)CC1(C)C,17,0.534,193.159240292,13,1,0,14,0.6923076923076923,0.15384615384615385,1,0,0,0,0,1,0,0
FooDB,*C(C)C=O,17,0.534,57.03403978,3,1,0,4,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0
FooDB,*C(=O)c1ccccc1O,17,0.534,121.0289544,7,2,0,9,0.0,0.0,0,1,0,1,0,1,0,0
FooDB,*c1ccc(O)c(OC)c1,16,0.502,123.044604464,7,2,0,9,0.14285714285714285,0.0,0,1,0,1,0,1,0,0
FooDB,*C(=O)CC(C)(O)CC(*)=O,16,0.502,128.047344116,6,3,0,9,0.6666666666666666,0.0,0,0,0,0,0,0,0,0
FooDB,*C(C)C=CC1=C(C)CCCC1(C)C,16,0.502,177.164325672,13,0,0,13,0.6923076923076923,0.07692307692307693,1,0,0,0,0,1,0,0
FooDB,*CC(=C)C,16,0.502,55.054775224,4,0,0,4,0.5,0.0,0,0,0,0,0,0,0,0
FooDB,*CCO,16,0.502,45.03403978,2,1,0,3,1.0,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)CC(N)C(*)=O,16,0.502,99.0320284,4,2,1,7,0.5,0.25,0,0,0,0,0,0,0,0
FooDB,*C1OC(CO[PH](=O)(=O)O)C(O)C1O,16,0.502,213.01641429,5,7,0,13,1.0,0.8,1,0,1,0,1,1,0,0
FooDB,*C1CCC2(C)C(=CCC3C2CCC2(C)C3CC3OC4(CCC(C)CO4)C(C)C32)C1,16,0.502,397.310655552,27,2,0,29,0.9259259259259259,0.4074074074074074,6,0,2,0,2,6,1,0
FooDB,*C(CCC(=O)[O-])[N+](C)(C)C,16,0.502,144.102453688,7,2,1,10,0.8571428571428571,0.14285714285714285,0,0,0,0,0,0,0,0
FooDB,*C(=O)CCCCCC,15,0.471,113.096640036,7,1,0,8,0.8571428571428571,0.0,0,0,0,0,0,0,0,0
FooDB,*CC(O)C(COP(=O)([O-])OCC[N+](C)(C)C)N*,15,0.471,268.118808402,9,5,2,17,1.0,0.2222222222222222,0,0,0,0,0,0,0,0
FooDB,*C(=O)c1ccccc1N,15,0.471,120.044938812,7,1,1,9,0.0,0.0,0,1,0,1,0,1,0,0
FooDB,*C(=O)CCCCCCCCCCCCCCCCCCCCCCCCC,15,0.471,379.39399125200003,26,1,0,27,0.9615384615384616,0.0,0,0,0,0,0,0,0,0
FooDB,*CCC=CCCCCC,15,0.471,125.13302554399999,9,0,0,9,0.7777777777777778,0.0,0,0,0,0,0,0,0,0
FooDB,*C(CC(=O)[O-])C[N+](C)(C)C,15,0.471,144.102453688,7,2,1,10,0.8571428571428571,0.14285714285714285,0,0,0,0,0,0,0,0
FooDB,*C(=O)C(*)=O,15,0.471,55.989829240000006,2,2,0,4,0.0,0.0,0,0,0,0,0,0,0,0
FooDB,*CCCC*,14,0.439,56.062600255999996,4,0,0,4,1.0,0.0,0,0,0,0,0,0,0,0
FooDB,*C(C)C=CC12OC1(C)CC(O)CC2(C)C,14,0.439,209.154154912,13,2,0,15,0.8461538461538461,0.3076923076923077,2,0,1,0,1,2,0,0
FooDB,*C(=O)c1c(C)cc(O)cc1O,14,0.439,151.039519084,8,3,0,11,0.125,0.0,0,1,0,1,0,1,0,0
FooDB,*C(C)CCCC(C)CCCC(C)CCCC(C)C,14,0.439,253.289526184,18,0,0,18,1.0,0.16666666666666666,0,0,0,0,0,0,0,0
FooDB,*C(=O)CCC(*)=O,14,0.439,84.021129368,4,2,0,6,0.5,0.0,0,0,0,0,0,0,0,0
FooDB,*CCCCC,14,0.439,71.086075352,5,0,0,5,1.0,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)C(*)Cc1ccc(O)c(O)c1,13,0.408,164.047344116,9,3,0,12,0.2222222222222222,0.1111111111111111,0,1,0,1,0,1,0,0
FooDB,*C1OC(C)C(O)C(*)C1O,13,0.408,130.06299418,6,3,0,9,1.0,0.8333333333333334,1,0,1,0,1,1,0,0
FooDB,*C(C)C1C=C2C(C)(C)CC(O)CC2(C)O1,13,0.408,209.154154912,13,2,0,15,0.8461538461538461,0.3076923076923077,2,0,1,0,1,2,0,0
FooDB,*C(=O)c1cc(*)c(O)c(O)c1,13,0.408,136.016043988,7,3,0,10,0.0,0.0,0,1,0,1,0,1,0,0
FooDB,*CC(*)CO[PH](=O)(=O)O[PH](=O)(=O)OCC1OC(*)C(O)C1O,13,0.408,333.01404493999996,8,10,0,20,1.0,0.625,1,0,1,0,1,1,0,0
FooDB,*C(=O)CC(CC(*)=O)C(*)=O,12,0.377,125.02386902,6,3,0,9,0.5,0.0,0,0,0,0,0,0,0,0
FooDB,*c1cc(O)cc(O)c1,12,0.377,109.0289544,6,2,0,8,0.0,0.0,0,1,0,1,0,1,0,0
FooDB,*C(=O)C=CC,12,0.377,69.03403978,4,1,0,5,0.25,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)C=CC(*)C,12,0.377,82.041864812,5,1,0,6,0.4,0.2,0,0,0,0,0,0,0,0
FooDB,*c1ccc(O)cc1O,12,0.377,109.0289544,6,2,0,8,0.0,0.0,0,1,0,1,0,1,0,0
FooDB,*C1CC(O)C(*)C(C)O1,12,0.377,114.06807956,6,2,0,8,1.0,0.6666666666666666,1,0,1,0,1,1,0,0
FooDB,*C1CC2CCC3C(CCC4(C)C3CC3OC5(CCC(C)CO5)C(C)C34)C2(C)CC1O,12,0.377,415.321220236,27,3,0,30,1.0,0.48148148148148145,6,0,2,0,2,6,1,0
FooDB,*C(=O)c1c(C)cc(OC)cc1O,11,0.345,165.055169148,9,3,0,12,0.2222222222222222,0.0,0,1,0,1,0,1,0,0
FooDB,*C1OCC(O)(CO)C1O,11,0.345,133.050083768,5,4,0,9,1.0,0.6,1,0,1,0,1,1,0,0
FooDB,*OC,11,0.345,31.018389715999998,1,1,0,2,1.0,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)CCCCCCCCCCCCCCCCCCCCCCCC,11,0.345,365.37834118800004,25,1,0,26,0.96,0.0,0,0,0,0,0,0,0,0
FooDB,*c1cc(=O)c2c(O)cc(O)cc2o1,11,0.345,177.01878364,9,4,0,13,0.0,0.0,0,2,0,2,1,2,0,0
FooDB,*C(=O)C12CCC(C)(C)CC1C1=CCC3C4(C)CCC(*)C(C)(CO)C4CCC3(C)C1(C)CC2,11,0.345,438.349780712,30,2,0,32,0.9,0.3,5,0,0,0,0,5,0,0
FooDB,*C(=O)c1ccccc1OC,10,0.314,135.044604464,8,2,0,10,0.125,0.0,0,1,0,1,0,1,0,0
FooDB,*C(=O)c1ccco1,10,0.314,95.013304336,5,2,0,7,0.0,0.0,0,1,0,1,1,1,0,0
FooDB,*C1OC(CO[PH](=O)(=O)O[PH](=O)(=O)O[PH](=O)(=O)O)C(O)C1O,10,0.314,372.9490753339999,5,13,0,21,1.0,0.8,1,0,1,0,1,1,0,0
FooDB,*C(=O)C1=NC(C(=O)[O-])CC(*)C1,10,0.314,152.03531663191,7,3,1,11,0.5714285714285714,0.2857142857142857,1,0,1,0,1,1,0,0
FooDB,*CC(SCC(N)C(*)=O)C(O)CCCC(*)=O,10,0.314,230.085089372,10,3,1,15,0.8,0.3,0,0,0,0,0,0,0,0
FooDB,*CC(O)CC=CCC,10,0.314,113.096640036,7,1,0,8,0.7142857142857143,0.14285714285714285,0,0,0,0,0,0,0,0
FooDB,*C(C)C#CC1=C(C)CC(O)CC1(C)C,10,0.314,191.143590228,13,1,0,14,0.6923076923076923,0.15384615384615385,1,0,0,0,0,1,0,0
